Date,Open,High,Low,Vol.,Change %,Crude_Oil_Price,EURUSD,Carbon_Price_USD,EuroNext100_Price,Total_MtCO2_per_day,Natural_Gas_Price
2021-04-01,42.89,43.16,42.53,1010.0,-0.19,61.48,1.1775,50.408775000000006,1206.44,15.9216365722,2.697
2021-04-05,42.81,42.81,42.81,2110.0,0.0,58.68,1.1811,50.56289100000001,1212.69,14.999524063125,2.582
2021-04-06,43.2,44.65,43.13,2110.0,4.18,59.37,1.1875,52.9625,1212.69,15.19879393856,2.536
2021-04-07,44.72,44.72,43.9,1340.0,-0.83,59.81,1.187,52.50101,1209.71,15.616128193012,2.597
2021-04-08,44.15,44.32,43.7,1670.0,-0.86,59.63,1.1912,52.23412,1217.58,16.150635022255,2.607
2021-04-09,43.9,44.15,43.54,1430.0,0.41,59.35,1.1896,52.378088,1217.16,16.736852485615,2.605
2021-04-12,44.23,44.97,44.07,3550.0,1.89,59.75,1.1909,53.423774,1212.21,18.46950999645318,2.643
2021-04-13,44.97,45.04,44.15,2310.0,-1.38,60.24,1.1946,52.849104,1216.08,18.943404976326,2.696
2021-04-14,44.38,44.56,43.86,2350.0,-0.09,63.22,1.1978,52.94276,1221.6,19.217340647857,2.693
2021-04-15,44.32,44.9,44.27,1500.0,0.79,63.51,1.1965,53.30407499999999,1227.19,19.486713145285,2.73
2021-04-16,45.15,45.18,44.77,2360.0,0.56,63.19,1.1983,53.68384,1234.77,19.750184895183,2.754
2021-04-19,44.9,45.31,44.29,2550.0,-0.13,63.43,1.2033,53.83564200000001,1233.34,20.158372145895,2.818
2021-04-20,44.53,45.55,44.42,1300.0,1.23,62.67,1.2033,54.497457,1210.15,20.04414274793,2.803
2021-04-21,45.31,46.89,45.3,2400.0,2.27,61.27,1.2033,55.736856,1222.17,19.68140907987,2.776
2021-04-22,46.76,47.67,46.66,2030.0,2.57,61.34,1.2015,57.083265,1232.35,19.284089080736,2.831
2021-04-23,47.45,47.53,46.53,2560.0,-0.27,62.02,1.2099,57.325062,1231.79,18.924711206975,2.818
2021-04-26,47.39,48.13,47.39,1680.0,0.61,61.8,1.2083,57.599661,1233.61,17.886011107307,2.874
2021-04-27,47.5,48.28,46.84,1360.0,0.23,62.8,1.209,57.766020000000005,1231.62,17.664208892807,2.942
2021-04-28,48.15,48.85,47.81,7190.0,1.05,63.75,1.2123,58.529844,1236.06,17.5787836608,2.96
2021-04-29,48.31,48.65,47.65,2960.0,0.48,64.88,1.2118,58.784418,1235.02,17.59952631806,2.961
2021-04-30,48.58,49.83,48.2,7700.0,1.65,63.48,1.2018,59.260758,1228.38,17.76930463175,2.978
2021-05-03,49.59,50.34,49.59,700.0,1.2,64.41,1.2061,60.18438999999999,1235.44,17.64308900137,3.014
2021-05-04,50.09,50.33,48.87,3350.0,-1.68,65.61,1.2013,58.935778000000006,1218.1,17.165984589068,3.012
2021-05-05,49.32,49.96,49.1,9530.0,1.73,65.59,1.2005,59.916955,1238.81,16.920891792018,2.982
2021-05-06,49.96,50.95,49.7,3740.0,1.0,64.67,1.2064,60.814624,1240.1,16.975067830372,2.974
2021-05-07,50.58,51.58,49.9,2970.0,1.03,64.88,1.2163,61.946159,1248.14,16.9110089764344,3.004
2021-05-10,51.5,53.25,51.5,3140.0,3.51,64.93,1.2129,63.944088,1243.63,15.76412108065,2.978
2021-05-11,52.38,53.94,51.9,4220.0,1.57,65.3,1.2146,65.04182999999999,1219.76,15.93087329466,2.999
2021-05-12,53.86,55.99,53.59,7590.0,4.3,66.1,1.2069,67.405365,1220.08,15.94732426479,3.018
2021-05-13,55.36,55.45,53.83,4290.0,-1.45,63.84,1.2078,66.477312,1220.46,15.3285492769,3.025
2021-05-14,55.37,57.48,55.24,5710.0,3.98,65.36,1.214,69.47721999999999,1237.89,14.92098852076,3.018
2021-05-17,57.02,57.37,56.0,6410.0,-0.45,66.28,1.2151,69.224247,1234.69,15.511878934048,3.164
2021-05-18,56.45,57.14,53.08,5360.0,-5.67,65.5,1.222,65.67028,1233.8,15.583032146568,3.078
2021-05-19,52.92,53.6,49.3,13600.0,-6.31,63.35,1.2172,61.28602000000001,1215.27,15.683133008099,3.028
2021-05-20,50.65,53.47,50.59,8410.0,6.08,61.94,1.2226,65.299066,1232.28,15.92808227189,2.991
2021-05-21,52.75,54.34,51.74,5660.0,-1.83,63.36,1.2179,63.854497,1238.92,15.669223908014,2.977
2021-05-24,52.2,53.51,51.4,2560.0,1.87,65.78,1.2215,65.240315,1243.9,15.056730351472,2.96
2021-05-25,53.81,54.27,52.83,4140.0,0.79,65.79,1.225,65.94175,1243.74,14.889365524962,2.974
2021-05-26,54.13,55.23,53.2,4370.0,0.72,65.96,1.219,66.09418000000001,1243.42,14.78648061409,3.027
2021-05-27,53.59,54.14,51.58,2110.0,-3.38,66.6,1.2192,63.873888,1247.07,14.94374797162,2.978
2021-05-28,52.23,52.9,50.78,3110.0,-1.55,66.1,1.2189,62.870862,1256.6,15.43517419469,3.007
2021-05-31,52.38,52.42,51.88,5890.0,1.28,66.96,1.2225,63.8634,1248.93,15.83370574438,3.055
2021-06-01,52.77,53.7,52.32,1190.0,1.4,67.52,1.2211,64.681667,1258.58,15.69778018387,3.126
2021-06-02,52.52,52.55,51.44,3930.0,-1.94,68.63,1.2209,63.413546,1263.62,15.34197148913,3.094
2021-06-03,52.85,53.15,50.66,4660.0,-2.33,68.6,1.2124,61.50505199999999,1259.13,14.81735671908,3.059
2021-06-04,50.61,51.95,49.8,2280.0,-0.51,69.39,1.2165,61.39675499999999,1262.79,14.50196069695,3.114
2021-06-07,49.83,52.5,49.83,240.0,2.97,69.04,1.2189,63.346233000000005,1266.8,14.457652852738,3.089
2021-06-08,52.33,53.1,52.07,4050.0,1.17,69.87,1.2171,63.995118000000005,1268.46,14.59556275845,3.14
2021-06-09,53.0,54.6,52.81,2840.0,2.51,69.79,1.2178,65.63942,1271.73,14.8403392379,3.144
2021-06-10,53.62,54.33,53.05,1670.0,0.46,70.09,1.2169,65.895135,1270.86,15.061617543089,3.166
2021-06-11,53.95,54.2,52.8,2340.0,-1.99,70.6,1.2106,64.24654199999999,1279.72,15.004045901609,3.311
2021-06-14,53.43,54.36,52.94,1420.0,0.41,70.63,1.2118,64.57682199999999,1283.31,14.362939252977,3.367
2021-06-15,53.01,53.01,51.43,5300.0,-2.87,71.86,1.2124,62.753824,1284.71,14.3521269327336,3.256
2021-06-16,51.9,52.7,51.15,3020.0,-0.08,71.95,1.1994,62.032968,1289.02,14.476488200597,3.271
2021-06-17,51.33,51.75,50.76,1930.0,-0.85,70.78,1.1906,61.053968000000005,1291.31,14.61522019902,3.275
2021-06-18,51.7,52.41,51.61,1580.0,1.91,71.29,1.186,61.98036,1268.39,14.8179891367,3.236
2021-06-21,52.16,53.31,51.99,3480.0,1.0,73.12,1.1915,62.88737,1275.3,15.27808453944,3.215
2021-06-22,53.23,53.81,53.16,4310.0,1.86,72.85,1.1938,64.178688,1278.21,15.42593131174,3.277
2021-06-23,53.99,55.2,53.88,6790.0,2.36,72.36,1.1925,65.62327499999999,1268.85,15.5930512172,3.352
2021-06-24,54.85,55.73,54.66,5720.0,0.84,72.63,1.193,66.19957000000001,1283.01,15.782714967,3.437
2021-06-25,55.67,56.16,55.3,8060.000000000001,-0.02,73.33,1.1933,66.204284,1282.9,15.85114240384,3.52
2021-06-28,55.89,56.31,55.05,6240.0,0.76,72.2,1.1924,66.65516,1273.06,16.21745521754,3.593
2021-06-29,55.75,56.57,55.61,2370.0,0.25,72.31,1.1895,66.65958,1275.94,16.32082753364,3.606
2021-06-30,55.8,57.03,55.62,5060.0,1.32,72.77,1.1855,67.31269,1264.63,16.31461492063,3.624
2021-07-01,57.09,59.0,57.02,3680.0,2.25,74.33,1.1848,68.789488,1270.95,16.153792821179998,3.632
2021-07-02,58.41,58.77,57.56,1400.0,-0.52,74.36,1.1864,68.52646399999999,1273.19,16.09735133762,3.668
2021-07-05,58.02,58.69,57.97,750.0,0.9,76.25,1.1861,69.125908,1273.49,15.79594170529,3.79
2021-07-06,58.56,58.58,52.68,3610.0,-6.59,72.58,1.1822,64.35896799999999,1264.43,15.35027899041,3.608
2021-07-07,53.93,55.37,52.9,2740.0,-2.59,71.5,1.1789,62.517067,1270.85,15.22168148824,3.574
2021-07-08,53.11,53.6,51.32,3480.0,-0.49,72.22,1.1842,62.490234,1244.93,15.36388797391,3.667
2021-07-09,53.55,54.86,53.3,3590.0,3.6,73.81,1.1873,64.90969100000001,1265.84,15.47617837179,3.657
2021-07-12,54.22,54.22,51.95,2070.0,-4.66,73.44,1.1859,61.809108,1273.26,15.6455469512,3.732
2021-07-13,52.15,53.7,51.7,2090.0,2.19,74.69,1.1774,62.708324,1275.32,15.89884693422,3.682
2021-07-14,52.81,55.88,52.05,2440.0,0.98,72.64,1.1835,63.64863,1276.01,15.66362123926,3.648
2021-07-15,52.8,53.9,52.3,2600.0,-0.76,71.38,1.1812,63.040644,1263.83,15.42679138415,3.601
2021-07-16,53.59,53.98,52.74,3010.0,-0.17,71.56,1.1805,62.89704,1258.67,15.17953416369,3.658
2021-07-19,53.0,54.35,52.4,3870.0,-0.88,66.35,1.1798,62.305238,1228.75,14.6538536272,3.754
2021-07-20,52.72,52.81,50.87,2650.0,-2.31,67.2,1.1779,60.767861,1235.13,14.57058714453,3.852
2021-07-21,51.82,52.65,51.3,5730.0,1.78,69.57,1.1792,61.919792,1257.91,14.70802524926,3.938
2021-07-22,52.04,52.58,50.46,4190.0,-2.57,71.14,1.177,60.21532,1265.13,14.72078103244,3.982
2021-07-23,50.4,51.31,50.37,5450.0,0.2,71.38,1.1771,60.338146,1279.86,14.77300610052,4.042
2021-07-26,51.1,53.71,50.96,1440.0,4.51,71.34,1.1799,63.207243,1276.46,14.91282201539,4.082
2021-07-27,54.0,54.06,53.2,2390.0,-0.54,71.14,1.1814,62.944992,1265.3,14.8919837694,3.942
2021-07-28,53.54,54.53,53.54,1210.0,1.73,71.79,1.1842,64.18364,1281.47,14.6460263162,3.967
2021-07-29,54.42,54.69,53.51,1890.0,0.39,72.98,1.1886,64.671726,1287.78,14.35178462387,4.06
2021-07-30,54.15,54.24,53.2,1350.0,-1.32,73.23,1.187,63.73003,1281.19,14.25992380648,3.92
2021-08-02,53.47,55.56,53.46,2010.0,2.05,70.61,1.1867,65.019293,1293.11,14.05983598795,3.938
2021-08-03,54.75,55.48,54.42,1200.0,-0.44,70.03,1.186,64.6963,1295.59,14.02712240608,4.032
2021-08-04,54.88,55.93,54.55,1190.0,2.33,67.79,1.1835,66.06297,1302.18,14.187856409286,4.163
2021-08-05,55.95,56.48,55.05,1860.0,0.93,68.74,1.1832,66.661488,1308.22,14.381329195771,4.148
2021-08-06,56.63,57.3,56.54,1830.0,1.21,68.1,1.176,67.05552,1311.81,13.903129695257,4.154
2021-08-09,56.9,57.7,56.25,2140.0,-0.07,66.3,1.1737,66.877426,1314.21,13.53839215143,4.075
2021-08-10,57.45,57.92,56.96,1750.0,1.39,68.06,1.1718,67.694886,1319.8,13.40391835535,4.103
2021-08-11,57.37,58.53,56.34,2380.0,0.64,69.02,1.1737,68.238918,1324.71,13.31191818577,4.071
2021-08-12,57.99,58.4,56.3,1920.0,-2.6,68.9,1.1727,66.41000100000001,1327.49,13.34939348398,3.948
2021-08-13,56.73,56.73,55.58,1510.0,-1.57,68.21,1.1791,65.723034,1327.64,13.47948686263,3.875
2021-08-16,55.5,58.6,55.46,920.0,4.99,67.05,1.1777,68.919004,1316.4,13.71259197424,3.96
2021-08-17,58.28,58.58,57.37,3410.0,-1.64,66.34,1.1708,67.391248,1313.42,13.52808905646,3.851
2021-08-18,57.42,58.37,55.73,3120.0,-0.19,65.21,1.171,67.27395,1308.69,13.32170916076,3.866
2021-08-19,57.3,57.3,52.86,10110.0,-6.28,63.5,1.1674,62.852816,1282.43,13.313407937917,3.844
2021-08-20,54.03,55.2,53.82,4130.0,1.63,62.14,1.1696,64.000512,1288.28,13.498053360767,3.866
2021-08-23,55.53,56.55,55.26,5650.0,1.74,65.34,1.1743,65.37328099999999,1300.73,14.28775665281,3.96
2021-08-24,56.08,57.18,55.79,2990.0,2.34,67.25,1.1753,66.956841,1301.83,14.59862270379,3.916
2021-08-25,56.98,57.42,56.19,2410.0,-0.18,68.06,1.177,66.93599,1303.41,15.004842318957,3.925
2021-08-26,56.65,57.86,55.97,1320.0,0.56,67.1,1.175,67.19825,1301.47,15.089301886908,4.211
2021-08-27,57.84,60.25,57.84,7800.0,3.72,68.48,1.1793,69.956076,1307.29,15.158517772773,4.388
2021-08-30,60.31,61.29,60.15,4290.0,2.97,68.93,1.1795,72.04386,1308.94,15.227248284932,4.359
2021-08-31,60.56,61.25,60.26,3090.0,-0.02,68.26,1.1807,72.105349,1308.97,15.301021290382,4.425
2021-09-01,61.14,62.18,60.0,7520.0,-1.06,68.32,1.1837,71.519154,1322.54,15.358634890963,4.663
2021-09-02,60.62,62.03,59.89,1920.0,2.33,69.73,1.1873,73.410759,1325.51,15.515563763303,4.692
2021-09-03,61.69,62.75,61.44,3370.0,-0.32,69.07,1.1882,73.228766,1314.2,15.57812608343,4.762
2021-09-06,62.48,63.47,62.17,2320.0,1.59,68.8,1.1868,74.305548,1326.86,16.06022820566,4.693
2021-09-07,63.03,63.16,61.96,4400.0,-0.53,68.13,1.1839,73.73329199999999,1322.59,16.12292589851,4.615
2021-09-08,62.71,63.61,62.27,4770.0,0.74,69.05,1.1813,74.114762,1312.34,16.10858943464,4.962
2021-09-09,62.55,63.36,62.17,3450.0,0.48,67.92,1.1825,74.54480000000001,1310.8,16.19056284779,5.072
2021-09-10,63.13,63.17,60.95,2940.0,-2.89,69.47,1.1814,72.32530799999999,1308.81,16.374546653299998,4.973
2021-09-13,61.23,62.99,61.2,5210.0,0.25,70.19,1.1808,72.46569600000001,1311.42,16.68649394271,5.273
2021-09-14,61.8,62.25,59.6,7050.0,-1.97,70.23,1.1802,71.00083199999999,1310.78,16.869385186469998,5.305
2021-09-15,60.51,61.71,59.1,5100.0,0.03,72.33,1.1815,71.10267,1298.6,17.10592897312,5.507
2021-09-16,59.61,60.98,58.64,5510.0,-0.91,72.37,1.1764,70.148732,1304.75,17.22869776033,5.382
2021-09-17,59.93,60.48,59.44,6710.0,0.32,71.82,1.1725,70.13895000000001,1294.64,17.288234729164,5.146
2021-09-20,59.59,61.36,58.88,8920.0,2.01,70.14,1.1725,71.54595,1274.15,17.60392496152,5.022
2021-09-21,60.95,61.5,60.21,2430.0,-0.85,70.49,1.1723,70.92415,1291.36,17.630390545877,4.842
2021-09-22,60.64,61.05,60.2,5540.0,0.73,71.89,1.1686,71.214484,1306.13,17.57361717297,4.855
2021-09-23,60.96,61.47,59.5,6070.0,-0.08,72.95,1.1736,71.460504,1318.42,17.22786938556,5.043
2021-09-24,60.85,64.5,60.29,4840.0,3.94,73.61,1.1714,74.137906,1305.63,16.9913517767,5.2
2021-09-27,64.25,65.33,64.0,6050.0,2.26,75.08,1.1694,75.683568,1305.39,16.64515762565,5.731
2021-09-28,65.75,66.0,62.07,8300.0,-3.75,74.9,1.1681,72.760949,1277.87,16.60996116653,5.88
2021-09-29,63.46,63.5,61.74,7270.0,1.59,74.5,1.1595,73.37316,1282.07,16.57327011023,5.595
2021-09-30,63.27,63.27,60.73,5410.0,-1.77,74.7,1.1581,71.987496,1275.93,16.76492967474,5.991
2021-10-01,62.25,64.15,61.53,2890.0,0.47,75.58,1.1594,72.40453000000001,1275.94,16.73984411854,5.763
2021-10-04,63.27,64.9,62.71,3330.0,2.19,77.33,1.1621,74.165222,1266.67,16.23776435794,5.906
2021-10-05,64.25,65.8,64.2,9910.0,2.1,78.57,1.1596,75.559536,1286.31,16.05376534583,6.432
2021-10-06,65.16,65.16,59.35,12720.0,-8.56,77.06,1.1556,68.85064799999999,1269.63,16.08513667732,5.803
2021-10-07,60.18,61.11,58.2,9850.0,2.06,77.96,1.155,70.23555,1291.25,16.39526479466,5.817
2021-10-08,60.49,61.15,58.3,6560.0,-3.37,78.76,1.1567,67.967692,1283.4,16.77723496365,5.71
2021-10-11,58.67,60.66,58.49,2330.0,1.4,79.92,1.1551,68.820858,1284.27,17.91287126473,5.502
2021-10-12,59.52,59.91,58.91,3000.0,-0.4,79.92,1.1527,68.40121800000001,1280.93,18.28639768718,5.663
2021-10-13,59.42,60.54,58.65,5220.0,0.19,79.82,1.1592,68.91444,1291.84,18.67367690609,5.753
2021-10-14,59.79,62.08,59.79,10060.0,3.94,80.77,1.1594,71.639326,1310.91,18.69973739827,5.837
2021-10-15,62.16,62.19,58.62,4220.0,-3.24,81.73,1.16,69.3564,1320.37,18.67916598749,5.6
2021-10-18,58.93,60.0,57.64,4490.0,-1.46,81.69,1.1609,68.400228,1311.86,19.18289210343,5.236
2021-10-19,58.26,58.69,54.45,7930.0,-6.79,82.44,1.1632,63.882944,1315.67,18.93928272648,5.35
2021-10-20,55.48,58.48,55.48,6450.0,5.86,83.42,1.1649,67.727286,1321.73,18.219825230848,5.447
2021-10-21,57.8,58.99,56.9,12640.0,0.4,81.36,1.1621,67.83177699999999,1321.01,17.803908526364,5.346
2021-10-22,58.51,60.53,58.44,4740.0,0.46,82.5,1.1647,68.29800800000001,1331.44,17.72081709859,5.461
2021-10-25,59.51,60.11,58.92,4840.0,1.21,82.61,1.1606,68.88161000000001,1328.3,17.67041310961,6.056
2021-10-26,59.68,60.54,59.14,5470.0,1.36,83.36,1.1595,69.75551999999999,1336.35,17.97831716471,6.003
2021-10-27,60.0,60.45,59.2,4640.0,0.18,81.48,1.1604,69.93730800000002,1333.93,18.5127008646,6.198
2021-10-28,59.73,59.84,58.32,3460.0,-2.21,81.46,1.1679,68.83602599999999,1343.15,18.88357655808,5.871
2021-10-29,59.3,59.87,58.5,6870.0,0.24,81.78,1.1561,68.302388,1343.09,18.877661265007,5.529
2021-11-01,59.41,60.78,57.0,4700.0,-3.03,82.45,1.1606,66.490774,1352.1,17.445599418575,5.305
2021-11-02,57.7,60.0,57.5,15250.0,4.36,82.44,1.1577,69.21888299999999,1353.92,17.5008308468119,5.64
2021-11-03,59.86,60.67,59.42,6880.0,0.6,79.57,1.161,69.83415,1358.3,17.7703777919637,5.78
2021-11-04,59.76,61.76,59.25,5610.0,0.05,77.7,1.1552,69.519936,1366.11,17.958713973289,5.826
2021-11-05,60.23,61.53,59.63,8230.0,-0.75,80.13,1.1566,69.083718,1373.1,18.244579030521,5.626
2021-11-08,60.27,61.43,60.16,10610.0,2.06,80.74,1.1586,70.62825600000001,1372.62,19.400221568339,5.505
2021-11-09,60.35,61.7,60.23,6800.0,-0.34,82.56,1.1591,70.415325,1370.46,19.526784290749,5.07
2021-11-10,60.45,63.58,60.31,8930.0,4.49,80.06,1.1478,72.862344,1369.54,19.622898237352,4.974
2021-11-11,63.12,64.22,62.4,4900.0,0.85,80.42,1.145,73.3029,1371.18,19.761468720329,5.245
2021-11-12,63.98,64.81,63.43,4860.0,-0.69,79.69,1.145,72.7991,1375.85,19.879797811096815,4.88
2021-11-15,63.94,67.27,63.94,9550.0,4.15,79.75,1.1367,75.272274,1382.32,20.8930547733265,5.104
2021-11-16,66.8,68.1,66.57,8170.0,2.43,79.74,1.1319,76.776777,1387.75,21.0953433611935,5.27
2021-11-17,68.15,68.73,67.1,10940.0,-0.56,77.55,1.1319,76.346655,1387.91,20.9907723302465,4.914
2021-11-18,67.57,69.49,66.62,9090.0,2.86,78.41,1.1369,78.87812199999999,1382.0,20.8041034444045,4.995
2021-11-19,69.47,70.1,68.9,6420.0,0.39,75.94,1.1288,78.62092000000001,1372.66,20.630575675294494,5.145
2021-11-22,70.09,71.48,69.59,7510.0,0.82,76.12,1.1234,78.885148,1367.74,20.6584155752,4.861
2021-11-23,70.3,70.93,69.1,12720.0,-1.04,77.94,1.1246,78.148454,1351.77,20.69985820705,5.035
2021-11-24,69.93,73.48,69.25,13300.0,5.38,77.81,1.1197,81.995631,1353.39,21.04588144489,5.114
2021-11-25,73.58,75.37,72.5,13110.0,2.13,77.41,1.1206,83.80967400000002,1362.23,21.52754990002,5.087
2021-11-26,74.38,74.51,70.7,7140.0,-2.23,67.84,1.1317,82.749904,1303.92,21.956016373669,5.477
